LCH_index,step_list
LCH_162,"[123, 124, 113, 113, 45, 52, 46, 46, 46, 114, 113, 46, 113, 113, 113, 113, 152, 161, 152, 161, 46, 52, 46, 46, 46, 114, 113, 46, 113, 46, 152, 161, 21]"
LCH_163,"[123, 124, 113, 113, 113, 113, 152, 161, 152, 161, 46, 52, 46, 46, 46, 114, 113, 46, 110, 113, 113, 113, 113, 152, 161, 152, 161, 46, 52, 46, 46, 46, 113, 113, 45, 52, 114, 113, 46, 110, 113, 113, 113, 113, 152, 161, 152, 161, 46, 52, 46, 46, 46, 114, 152, 161, 21]"
LCH_164,"[123, 124, 113, 113, 45, 52, 114, 113, 46, 152, 161, 21, 64, 113, 46, 152, 161, 21, 21, 64, 64, 113, 46, 152, 161, 21, 21, 21, 64]"
LCH_165,"[55, 130, 55, 130, 126, 126, 55, 130, 117, 117, 126, 120, 126, 120, 123, 124, 55, 130, 117, 43, 46, 46, 46, 43, 46, 152, 161, 46, 46]"
LCH_166,"[43, 46, 46, 46, 46, 120, 117, 43, 117, 46, 46, 46, 46, 44, 46, 46, 46]"
LCH_167,"[96, 14, 20, 20, 20, 20, 117, 153, 152, 161, 86, 88, 86, 88, 89, 101, 86, 88, 86, 88]"
LCH_168,"[96, 14, 20, 20, 20, 20, 117, 153, 152, 161, 86, 88, 86, 88, 89, 101, 86, 88, 86, 88]"
LCH_169,"[96, 14, 20, 20, 20, 20, 117, 153, 152, 161, 86, 88, 86, 88, 89, 101, 86, 88, 86, 88]"
LCH_170,"[43, 46, 46, 46, 46, 117, 43, 46, 46, 46, 44, 46, 46, 46]"
LCH_171,"[126, 126, 43, 46, 46, 46, 46, 43, 43, 117, 152, 161, 117, 46, 46, 44, 46, 49]"
LCH_172,"[126, 126, 43, 46, 46, 46, 46, 43, 43, 117, 152, 161, 117, 43, 43, 46, 46, 44, 46, 46]"
LCH_173,"[43, 46, 46, 46, 46, 117, 43, 46, 46, 46, 44, 46, 46, 46, 46, 126, 126, 43, 46, 46, 46, 46, 43, 43, 117, 152, 161, 117, 43, 43, 46, 46, 44, 46, 46]"
LCH_174,"[44, 46]"
LCH_175,"[43, 46]"
LCH_176,"[123, 124, 44, 54]"
LCH_177,"[123, 124, 44, 54]"
LCH_178,"[123, 124, 43, 46, 123, 124, 46, 43]"
LCH_179,"[123, 124, 43, 45, 52, 123, 124, 46, 43]"
LCH_180,"[123, 124, 43, 46, 123, 124, 46, 44, 54]"
LCH_181,"[123, 124, 43, 46, 123, 124, 46, 44, 54]"
LCH_182,"[43, 46, 46, 44, 64, 44, 44, 44, 46, 44, 46, 44, 46, 44, 152, 161, 86, 89, 88]"
LCH_183,"[55, 130, 55, 130, 126, 120, 123, 124, 117, 43, 46, 46, 152, 161, 46, 46]"
LCH_184,"[123, 124, 123, 124]"
LCH_185,"[123, 124, 56, 8, 1, 152, 161, 116, 46, 8, 24, 1, 152, 161, 114, 46]"
